Paid,Organic,Social,Profit
47467,117467,160367,89583.54765
149605,132551,357442,176839.1597
75555,121615,214563,113578.8837
29784,114856,126247,74477.11333
46373,117306,158256,88648.95289
52714,118242,170491,94066.01447
114529,127371,289763,146874.0356
134049,130254,327427,163549.8031
105163,125988,271691,138872.7426
84807,122982,232414,121482.7874
47480,117469,160392,89594.65343
52985,118282,171014,94297.52743
129319,129556,318300,159509.0049
37618,116013,141363,81169.63193
80380,122328,223872,117700.8395
14469,112594,96697,61393.64099
141203,131311,341231,169661.4036
143533,131655,345726,171651.9025
92746,124154,247733,128265.0066
30713,114993,128040,75270.75002
70966,120938,205708,109658.5406
113478,127216,287735,145976.1753
5107,111211,78633,53395.76517
111210,126881,283359,144038.6425
6166,111368,80676,54300.45973
10758,112046,89537,58223.36571
19870,113392,107118,66007.66868
84817,122983,232434,121491.3304
47856,117525,161117,89915.86699
155761,133461,369320,182098.1774
22390,113764,111981,68160.48294
102474,125591,266503,136575.5531
73031,121243,209693,111422.6523
108606,126497,278335,141814.0678
43074,116818,151890,85830.64565
85328,123059,233420,121927.8732
55700,118683,176252,96616.9285
48759,117658,162860,90687.2921
124538,128849,309075,155424.6379
86530,123236,235739,122954.7315
75098,121548,213681,113188.4725
134440,130312,328181,163883.8311
23354,113906,113841,68984.01982
58848,119148,182326,99306.23774
3854,111026,76215,52325.33808
11310,112127,90602,58694.93455
36517,115850,139239,80229.05713
65189,120085,194561,104723.2993
2603,110842,73802,51256.61958
2696,110855,73981,51336.06868
4908,111182,78249,53225.76119
18307,113161,104102,64672.41127
145420,131933,349367,173263.9503
124967,128913,309903,155791.1289
81122,122438,225304,118334.7237
48147,117568,161679,90164.46578
107504,126334,276208,140872.6387
78966,122119,221144,116492.8715
11572,112166,91107,58918.75889
17929,113105,103373,64349.48913
135016,130397,329293,164375.9029
140499,131207,339872,169059.9825
70972,120939,205720,109663.6663
23044,113860,113243,68719.18949
62977,119758,190293,102833.6068
127949,129353,315657,158338.6258
140062,131142,339029,168686.6571
142634,131522,343992,170883.8945
51407,118049,167969,92949.45565
71393,121001,206532,110023.323
90687,123850,243760,126506.0207
95482,124558,253012,130602.3478
79898,122257,222942,117289.0711
80315,122318,223747,117645.3106
116953,127729,294440,148944.8378
77184,121856,217706,114970.5243
141804,131399,342390,170174.8327
51183,118016,167537,92758.09438
109716,126660,280476,142762.3312
140198,131162,339291,168802.8408
8318,111686,84829,56138.89476
130650,129752,320869,160646.0668
132796,130069,325009,162479.376
114589,127380,289879,146925.293
14349,112576,96465,61291.12602
74459,121454,212448,112642.5803
78709,122081,220648,116273.3187
70529,120873,204865,109285.2152
63481,119832,191266,103264.1697
12968,112372,93801,60111.34964
7251,111528,82770,55227.36587
28913,114727,124567,73733.02555
57470,118945,179668,98129.02423
39280,116258,144570,82589.46419
140284,131175,339457,168876.3098
65509,120132,195179,104996.6726
115538,127520,291710,147736.0156
155075,133359,367997,181512.1335
54112,118449,173188,95260.31381
50269,117881,165773,91977.27207
90441,123814,243285,126295.865
146667,132118,351773,174329.2516
81041,122426,225148,118265.5261
122666,128573,305463,153825.4044
52746,118247,170553,94093.35179
139181,131012,337329,167934.0264
63457,119829,191219,103243.6667
130989,129802,321523,160935.6715
67877,120481,199748,107019.6345
145505,131946,349531,173336.5651
28236,114627,123260,73154.67029
113363,127199,287513,145877.9318
134787,130363,328851,164180.2702
158727,133899,375043,184632.0056
120520,128256,301323,151992.0952
60472,119388,185460,100693.6069
154106,133216,366127,180684.3252
40219,116397,146382,83391.64379
84406,122923,231641,121140.2166
20629,113504,108583,66656.07583
87536,123385,237680,123814.1486
118530,127962,297483,150292.0553
129325,129556,318312,159514.1307
44466,117024,154576,87019.81924
55907,118714,176652,96793.76682
65694,120159,195536,105154.7165
148622,132406,355546,175999.3913
140627,131226,340119,169169.3318
156713,133601,371157,182911.4628
100606,125315,262899,134979.7368
24830,114124,116689,70244.95388
141159,131304,341146,169623.8148
101587,125460,264791,135817.7966
1215,110637,71123,50070.86316
13269,112417,94382,60368.49134
155679,133448,369162,182028.1255
50634,117935,166477,92289.08842
158637,133885,374870,184555.1194
101322,125421,264280,135591.4094
28980,114737,124696,73790.26307
130675,129756,320917,160667.424
84533,122941,231886,121248.7116
101223,125406,264089,135506.8346
123282,128664,306652,154351.6479
79009,122126,221227,116529.6061
109841,126679,280718,142869.1176
96021,124638,254052,131062.8109
136849,130668,332830,165941.819
144390,131781,347380,172384.0302
109658,126652,280364,142712.7823
50050,117849,165351,91790.18226
60170,119343,184877,100435.6109
112043,127004,284966,144750.2672
103519,125745,268519,137468.2876
132029,129956,323529,161824.1346
51373,118044,167903,92920.40974
69518,120724,202914,108421.5267
107707,126364,276600,141046.0598
125384,128974,310708,156147.3684
156397,133555,370547,182641.5067
118745,127994,297898,150475.728
36008,115775,138257,79794.22283
7959,111633,84136,55832.20416
121607,128417,303420,152920.7099
113168,127170,287137,145711.345
92665,124142,247576,128195.809
36840,115898,139862,80504.99325
144661,131821,347903,172615.5432
62251,119651,188893,102213.3913
49407,117754,164110,91240.87291
127740,129322,315254,158160.0789
6101,111358,80551,54244.9308
142977,131573,344654,171176.9165
138529,130916,336071,167377.0285
122905,128608,305925,154029.5801
66102,120219,196323,105503.2673
18930,113253,105305,65204.63479
18903,113249,105252,65181.56893
140704,131237,340268,169235.1122
112110,127014,285096,144807.5047
143046,131583,344787,171235.8626
50864,117969,166921,92485.57543
132160,129975,323782,161936.0467
68920,120636,201760,107910.6604
157947,133783,373538,183965.6583
120687,128281,301645,152134.7618
3372,110955,75285,51913.56964
53012,118286,171066,94320.5933
64233,119943,192717,103906.5968
102541,125601,266632,136632.7906
27996,114592,122797,72949.64036
3111,110917,74782,51690.5996
66932,120342,197925,106212.3292
118012,127886,296484,149849.5324
18192,113144,103881,64574.16776
83511,122790,229914,120375.6258
123767,128736,307588,154765.9792
44424,117018,154495,86983.939
143423,131638,345514,171557.9304
127190,129241,314192,157690.2186
22014,113708,111255,67839.26938
148327,132363,354976,175747.3753
4852,111174,78141,53177.92087
87342,123356,237306,123648.4161
12412,112290,92728,59636.36364
66380,120260,196859,105740.7603
135781,130510,330769,165029.4358
154047,133207,366013,180633.922
91262,123935,244869,126997.2382
143575,131661,345807,171687.7827
89669,123700,241796,125636.3521
3737,111009,75990,52225.38599
12816,112350,93508,59981.49735
46750,117361,158983,88971.02073
16708,112925,101017,63306.39937
11277,112123,90538,58666.74293
32758,115295,131986,77017.77587
131074,129815,321687,161008.2863
33729,115438,133859,77847.29279
56708,118832,178197,97478.0542
43245,116844,152220,85976.72948
117945,127876,296354,149792.2949
93533,124270,249251,128937.3339
36345,115825,138907,80082.11902
123150,128644,306397,154238.8815
146767,132132,351966,174414.6808
125425,128980,310787,156182.3943
26154,114320,119243,71376.03566
113132,127165,287068,145680.5905
159191,133967,375939,185028.3968
23281,113895,113700,68921.65655
145038,131877,348630,172937.611
119016,128034,298421,150707.2409
159570,134023,376670,185352.1732
66705,120308,197487,106018.405
96720,124741,255401,131659.9605
77031,121833,217411,114839.8177
56584,118814,177958,97372.12207
34269,115518,134901,78308.61013
43002,116808,151752,85769.13667
90606,123838,243604,126436.8231
21297,113602,109872,67226.74247
147448,132233,353280,174996.4532
11931,112219,91800,59225.44949
62868,119742,190083,102740.489
107864,126387,276903,141180.1836
126763,129178,313369,157325.4362
48320,117593,162013,90312.25819
132750,130062,324921,162440.0786
90232,123783,242882,126117.3181
11415,112143,90804,58784.63514
136367,130596,331900,165530.0505
48599,117634,162551,90550.60548
131209,129835,321947,161123.6156
44805,117074,155230,87309.42402
27745,114555,122313,72735.21323
56428,118791,177657,97238.85262
22961,113848,113082,68648.28331
127002,129213,313830,157529.6118
42722,116766,151211,85529.93509
36880,115904,139939,80539.1649
134020,130250,327371,163525.0287
105406,126024,272160,139080.3354
135965,130537,331124,165186.6254
22609,113796,112403,68347.57275
48592,117633,162537,90544.62544
45646,117198,156853,88027.88306
18687,113217,104836,64997.04199
159134,133959,375829,184979.7022
25194,114178,117391,70555.91594
49370,117748,164039,91209.26412
83997,122862,230851,120790.8114
127102,129228,314023,157615.041
112617,127089,286074,145240.6305
18790,113232,105034,65085.034
31530,115114,129616,75968.70607
154761,133313,367391,181243.886
62322,119661,189030,102274.046
138389,130895,335801,167257.4277
54437,118497,173815,95537.9585
128678,129461,317064,158961.4042
36374,115829,138963,80106.89347
91354,123949,245047,127075.833
159026,133943,375620,184887.4387
21362,113612,109997,67282.27141
33021,115334,132493,77242.4545
135411,130455,330055,164713.348
41996,116659,149810,84909.71956
129894,129640,319410,160000.2225
29076,114751,124881,73872.27504
60970,119461,186421,101119.044
68150,120522,200275,107252.8561
79611,122214,222389,117043.8895
125073,128928,310108,155881.6838
108627,126500,278375,141832.0079
38547,116150,143156,81963.26862
109403,126614,279872,142494.938
110385,126759,281767,143333.8521
27445,114510,121734,72478.92582
99603,125167,260963,134122.8826
10372,111989,88792,57893.60924
146341,132069,351144,174050.7527
20181,113438,107718,66273.3533
105465,126033,272274,139130.7386
58528,119101,181709,99032.8645
107739,126368,276662,141073.3972
125610,129008,311144,156340.4382
45698,117206,156953,88072.30621
90555,123831,243505,126393.2542
19468,113332,106343,65664.24355
100506,125300,262706,134894.3077
72494,121163,208656,110963.8978
63372,119816,191055,103171.0519
41878,116642,149583,84808.91317
105962,126106,273233,139555.3214
23028,113858,113212,68705.52083
55229,118614,175344,96214.55727
57839,118999,180380,98444.25774
112421,127060,285696,145073.1894
104830,125939,271049,138588.2636
105004,125965,271385,138736.9103
33474,115401,133367,77629.44849
101381,125430,264394,135641.8126
49895,117826,165052,91657.76709
140901,131266,340648,169403.4076
99011,125079,259821,133617.1421
25140,114170,117287,70509.78421
88069,123464,238708,124269.4859
5954,111336,80267,54119.34996
146657,132116,351754,174320.7087
120300,128224,300898,151804.1511
153919,133189,365766,180524.5727
6952,111484,82193,54971.93275
24538,114081,116125,69995.5008
33718,115437,133838,77837.89559
60311,119364,185149,100556.066
158104,133807,373841,184099.7821
120265,128218,300831,151774.2509
122843,128599,305805,153976.614
156926,133633,371568,183093.4268
50112,117858,165470,91843.14832
12068,112239,92064,59342.48741
78098,121991,219469,115751.3466
69762,120760,203385,108629.9738
156672,133595,371078,182876.4368
110066,126712,281152,143061.3332
149352,132514,356954,176623.024
123926,128759,307895,154901.8116
155584,133434,368979,181946.9678
59551,119252,183683,99906.80457
32892,115315,132244,77132.25091
148355,132367,355030,175771.2955
34087,115491,134550,78153.1291
9153,111809,86440,56852.22806
141090,131294,341013,169564.8687
30917,115023,128433,75445.02546
116032,127593,292663,148158.0355
111403,126910,283731,144203.5207
109089,126568,279267,142226.6905
147916,132302,354183,175396.2616
80883,122402,224843,118130.5481
69933,120785,203715,108776.0576
68302,120544,200568,107382.7084
83794,122832,230460,120617.3903
118649,127980,297713,150393.716
66766,120317,197604,106070.5168
130880,129786,321312,160842.5538
114090,127306,288916,146499.0017
56983,118873,178728,97712.98433
90073,123759,242575,125981.4858
26750,114408,120393,71885.19331
94859,124466,251810,130070.1243
64520,119986,193271,104151.7784
66882,120335,197828,106169.6146
114904,127427,290487,147194.3948
108270,126447,277686,141527.0259
76026,121685,215471,113981.2549
158668,133890,374929,184581.6024
5885,111326,80134,54060.40386
32007,115184,130537,76376.20305
58843,119147,182317,99301.96628
57863,119003,180426,98464.76074
146290,132062,351046,174007.1838
92831,124167,247897,128337.6214
149026,132466,356325,176344.525
68638,120594,201216,107669.7503
48519,117623,162397,90482.26217
35910,115760,138067,79710.50227
41614,116603,149073,84583.38025
137713,130795,334497,166679.9267
29287,114782,125288,74052.53052
94648,124435,251403,129889.8688
41578,116598,149004,84552.62576
96008,124636,254027,131051.7051
78630,122070,220496,116205.8296
19242,113299,105907,65471.1737
92507,124119,247272,128060.831
92171,124069,246623,127773.7891
70074,120806,203987,108896.5127
149598,132550,357429,176833.1797
6975,111487,82237,54991.58145
155563,133431,368938,181929.0277
63024,119765,190384,102873.7585
9960,111928,87997,57541.6412
19291,113306,106001,65513.03398
132449,130018,324340,162182.9369
3089,110913,74739,51671.80519
104168,125841,269771,138022.7227
153606,133142,365162,180257.1795
13316,112424,94472,60408.64304
151611,132848,361313,178552.8682
155716,133454,369233,182059.7343
76520,121758,216425,114403.2748
42221,116692,150245,85101.93511
126483,129137,312828,157086.2346
118217,127916,296879,150024.6621
91556,123979,245437,127248.3999
123093,128636,306287,154190.1869
90163,123773,242749,126058.372
104391,125874,270202,138213.2296
61243,119502,186948,101352.2656
60782,119434,186058,100958.4372
16787,112936,101170,63373.88839
152746,133015,363503,179522.4889
159000,133939,375570,184865.2271
62726,119721,189809,102619.1797
148420,132376,355156,175826.8244
135886,130525,330971,165119.1364
99774,125192,261293,134268.9664
14367,112579,96500,61306.50327
136326,130590,331820,165495.0246
33519,115407,133454,77667.8916
122931,128612,305975,154051.7917
73289,121281,210190,111643.0594
67289,120395,198613,106517.3112
22876,113836,112918,68575.66854
125112,128934,310183,155915.0011
88568,123537,239671,124695.7773
144841,131848,348250,172769.3156
159238,133974,376029,185068.5485
127074,129224,313969,157591.1208
67697,120455,199401,106865.8621
65307,120102,194789,104824.1057
84231,122897,231303,120990.7156
8882,111769,85917,56620.7151
129441,129574,318536,159613.2285
148278,132355,354882,175705.515
58228,119056,181130,98776.57709
136903,130676,332934,165987.9507
4187,111075,76858,52609.81711
80546,122352,224193,117842.6519
36302,115818,138824,80045.38449
36327,115822,138872,80066.74177
103813,125789,269087,137719.4492
117577,127821,295644,149477.9157
154222,133233,366351,180783.423
63645,119856,191582,103404.2734
45968,117246,157474,88302.96488
60822,119440,186135,100992.6089
107750,126370,276683,141082.7944
109510,126630,280079,142586.3472
147647,132262,353664,175166.4572
9316,111833,86754,56991.47755
70319,120842,204460,109105.8141
138525,130915,336063,167373.6113
122434,128539,305016,153627.2089
91086,123909,244530,126846.883
32205,115213,130919,76545.35274
18989,113261,105418,65255.03798
143683,131677,346016,171780.0462
81836,122543,226682,118944.6878
139592,131073,338122,168285.1402
54073,118443,173113,95226.99644
11977,112226,91889,59264.74689
133956,130240,327248,163470.354
133110,130115,325615,162747.6235
9063,111796,86266,56775.34184
36025,115777,138289,79808.74578
40178,116391,146303,83356.61784
29814,114860,126305,74502.74207
113466,127214,287712,145965.9238
12585,112316,93062,59784.15604
99265,125117,260311,133834.1321
26554,114379,120015,71717.75221
49642,117788,164563,91441.63138
135489,130467,330205,164779.9827
57784,118991,180273,98397.27172
50884,117972,166960,92502.66126
102170,125546,265916,136315.8485
36011,115775,138262,79796.7857
112108,127014,285092,144805.7962
52981,118282,171006,94294.11026
60350,119370,185225,100589.3834
38385,116126,142843,81824.87341
18632,113209,104730,64950.05596
75431,121597,214323,113472.9515
79191,122152,221578,116685.0871
76485,121753,216357,114373.3746
58814,119143,182261,99277.19183
71364,120996,206476,109998.5485
88650,123549,239829,124765.8292
133587,130186,326536,163155.1205
112125,127016,285125,144820.3191
106384,126168,274047,139915.8323
1681,110705,72023,50468.96294
50720,117948,166643,92362.55748
128215,129392,316170,158565.8673
35274,115667,136840,79167.17296
64229,119943,192709,103903.1796
57750,118986,180208,98368.22581
155883,133479,369556,182202.4009
24815,114122,116660,70232.13951
5210,111227,78832,53483.75718
83476,122785,229846,120345.7256
110481,126773,281952,143415.8641
9079,111798,86297,56789.0105
72359,121143,208396,110848.5685
111501,126924,283921,144287.2413
48082,117558,161553,90108.93684
42770,116774,151304,85570.94108
58265,119062,181202,98808.18587
15132,112692,97976,61960.03617
92114,124061,246513,127725.0945
24874,114131,116773,70282.5427
129228,129542,318125,159431.2644
2296,110796,73209,50994.35213
40501,116438,146926,83632.55396
46177,117277,157878,88481.51178
139729,131093,338387,168402.1781
45282,117145,156151,87716.921
145719,131978,349944,173519.3834
150394,132668,358965,177513.1956
154778,133315,367424,181258.409
82971,122711,228872,119914.3085
120814,128299,301890,152243.2568
109821,126676,280679,142852.0318
149129,132481,356524,176432.517
135073,130405,329403,164424.5975
9628,111879,87356,57258.01646
150311,132656,358805,177442.2894
117241,127772,294996,149190.8738
95584,124573,253209,130689.4855
69018,120650,201949,107994.381
72838,121214,209320,111257.774
87391,123363,237400,123690.2763
133567,130183,326497,163138.0347
49559,117776,164403,91370.72519
137973,130834,334998,166902.0425
7736,111600,83706,55641.69719
10707,112038,89438,58179.79685
125850,129043,311607,156545.4682
65352,120109,194876,104862.5488
154992,133347,367837,181441.2273
135611,130485,330441,164884.2062
98169,124955,258196,132897.8287
38099,116084,142291,81580.54608
91798,124014,245904,127455.1384
78442,122042,220133,116045.2229
131802,129922,323091,161630.2104
107178,126286,275579,140594.1397
2626,110845,73846,51276.26828
84533,122941,231886,121248.7116
19707,113368,106804,65868.41919
13123,112395,94100,60243.7648
3797,111018,76105,52276.64348
132703,130055,324830,162399.9269
22449,113772,112094,68210.88613
83026,122719,228978,119961.2945
27654,114541,122138,72657.47271
156793,133613,371312,182979.8061
73771,121352,211120,112054.8279
29469,114809,125640,74208.01155
134963,130389,329191,164330.6254
146580,132105,351606,174254.9283
82465,122636,227895,119482.037
80306,122317,223730,117637.622
130189,129684,319979,160252.2384
120735,128288,301738,152175.7678
67191,120380,198424,106433.5906
83593,122802,230072,120445.6777
108131,126426,277418,141408.2794
3574,110985,75675,52086.1365
98311,124976,258470,133019.1381
145072,131882,348696,172966.6569
133439,130164,326250,163028.6854
70521,120872,204850,109278.3809
111317,126897,283565,144130.0517
106821,126233,274890,140289.1577
107973,126403,277113,141273.3013
10488,112006,89016,57992.70704
90061,123758,242552,125971.2343
83918,122850,230699,120723.3224
93580,124277,249342,128977.4856
18947,113255,105337,65219.15775
60133,119338,184806,100404.0021
150860,132737,359864,177911.2954
103957,125810,269364,137842.4672
92330,124093,246930,127909.6214
123073,128633,306249,154173.101
142001,131428,342770,170343.1281
12564,112313,93021,59766.21593
48789,117662,162918,90712.92084
51795,118106,168718,93280.9207
44496,117028,154634,87045.44798
35278,115667,136848,79170.59013
155044,133355,367937,181485.6505
146775,132133,351982,174421.5151
17432,113032,102414,63924.90632
107612,126350,276417,140964.9022
7214,111522,82698,55195.75709
107501,126333,276203,140870.0758
141301,131325,341420,169745.1241
40281,116406,146501,83444.60985
159196,133968,375948,185032.6682
139547,131066,338035,168246.6971
125783,129033,311478,156488.2307
121583,128413,303374,152900.2069
138546,130918,336104,167391.5514
133671,130198,326698,163226.881
95277,124528,252616,130427.2181
44700,117059,155028,87219.72342
89471,123671,241414,125467.2024
146162,132043,350799,173897.8345
109909,126689,280849,142927.2094
31984,115181,130492,76356.55435
127797,129331,315364,158208.7735
21890,113690,111016,67733.33725
56547,118808,177887,97340.51329
142143,131449,343044,170464.4375
83936,122853,230734,120738.6997
117801,127854,296076,149669.2769
35679,115726,137622,79513.16096
139429,131049,337808,168145.8907
142144,131450,343046,170465.2918
89706,123705,241867,125667.9609
17219,113000,102003,63742.94226
129179,129535,318030,159389.4041
27903,114578,122618,72870.19126
88429,123517,239403,124577.0308
149794,132579,357807,177000.6208
137595,130778,334269,166579.1203
110391,126760,281779,143338.9779
141217,131313,341258,169673.3637
29605,114829,125902,74324.19518
158771,133905,375128,184669.5944
101859,125500,265316,136050.1639
158592,133879,374783,184516.6762
53884,118415,172748,95065.53537
142240,131464,343232,170547.3037
113736,127254,288233,146196.5825
70598,120883,204998,109344.1613
118793,128001,297990,150516.734
7888,111622,83999,55771.54948
45710,117208,156977,88082.55771
71222,120975,206202,109877.2392
159477,134009,376490,185272.7241
46307,117296,158129,88592.56966
44151,116978,153969,86750.71746
58725,119130,182089,99201.1599
57267,118915,179276,97955.60308
135390,130452,330014,164695.4079
145733,131980,349971,173531.3435
71791,121060,207300,110363.331
111381,126906,283689,144184.7263
62904,119747,190152,102771.2435
45209,117134,156010,87654.55773
154595,133288,367071,181102.0736
18651,113212,104766,64966.2875
153606,133142,365162,180257.1795
107173,126285,275570,140589.8682
26618,114388,120139,71772.42685
33472,115400,133363,77627.73991
2638,110847,73869,51286.51978
37255,115959,140663,80859.52417
43391,116865,152502,86101.45602
97670,124881,257234,132471.5373
1634,110698,71932,50428.81124
58986,119168,182593,99424.12995
56671,118827,178126,97446.44542
105205,125994,271772,138908.6228
116004,127589,292609,148134.1153
128926,129497,317542,159173.2684
38859,116196,143758,82229.80752
60549,119399,185609,100759.3874
75398,121592,214260,113444.7599
15801,112791,99267,62531.55709
44574,117040,154785,87112.08271
93601,124281,249382,128995.4258
5404,111255,79206,53649.48971
64529,119987,193288,104159.467
17495,113041,102536,63978.72668
138565,130921,336141,167407.783
79095,122138,221393,116603.0751
136431,130606,332023,165584.7252
46477,117321,158457,88737.79919
121576,128412,303360,152894.2269
18421,113178,104322,64769.80049
2682,110853,73954,51324.1086
9405,111846,86926,57067.50948
20279,113452,107907,66357.07385
25990,114295,118927,71235.93187
137404,130750,333900,166415.9507
9869,111915,87821,57463.90068
37191,115950,140539,80804.84952
25600,114238,118174,70902.75824
129013,129510,317710,159247.5918
74278,121427,212099,112487.9536
78694,122079,220619,116260.5043
85315,123057,233395,121916.7675
131636,129898,322771,161488.398
131599,129892,322700,161456.7893
148644,132410,355588,176018.1857
80987,122418,225044,118219.3944
100610,125316,262906,134983.154
153748,133163,365436,180378.4888
106158,126135,273611,139722.7625
41374,116567,148610,84378.35032
152109,132921,362274,178978.3053
57182,118902,179112,97882.98831
6906,111477,82104,54932.63535
53981,118429,172936,95148.40164
66959,120346,197977,106235.395
64124,119927,192506,103813.479
100306,125271,262320,134723.4494
146708,132124,351853,174364.2776
39202,116247,144419,82522.82946
19561,113346,106522,65743.69265
55658,118677,176171,96581.04826
24723,114108,116482,70153.5447
52176,118163,169453,93606.40571
120402,128239,301095,151891.2888
35429,115689,137139,79299.58812
40408,116425,146746,83553.10486
13599,112465,95018,60650.40749
86851,123284,236358,123228.959
4037,111053,76568,52481.67341
131611,129894,322723,161467.0408
68653,120596,201245,107682.5646
107094,126273,275417,140522.3792
62140,119634,188678,102118.5649
9494,111859,87098,57143.54142
128989,129507,317664,159227.0888
134194,130275,327707,163673.6754
126960,129207,313749,157493.7316
